Produkt Name #1;Produkt Name #2;Produkt Name #3;Produkt Name #4;Produkt Name #5;Produkt Name #6;Produkt Name #7;Produkt Name #8;Bestell ID;Shipping Postcode;Shipping City;Customer ID
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;43514;50968;Köln;76
"Bio Obst &amp; Gemüse (ca. 5 kg)";Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;43210;50735;Köln;77
Bio Gemüsekiste(ca. 5Kg);;;;;;;;41736;40625;dusseldorf;78
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;43494;40211;Düsseldorf;79
"Bauerntüte ""klassik""";;;;;;;;28603;50931;Köln;80
"Bauerntüte ""klassik""";Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;42902;50968;Köln;81
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;41750;50933;Köln;82
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;41753;50933;Köln;83
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;43137;50933;Köln;83
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;43816;50933;Köln;83
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;43574;50933;Köln;83
Bio Gemüsekiste(ca. 5Kg);;;;;;;;42563;51069;Köln;84
"Bauerntüte ""klassik""";Bio Obst &  Gemüse (ca. 5 kg);;;;;;;27771;40547;Düsseldorf;85
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;37996;50939;Köln;86
Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;;;;;;;;42531;40237;Düsseldorf;87
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;38034;51069;Köln;88
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43503;50733;Köln;89
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;"Bauerntüte ""klassik""";;;;;;41320;50999;Köln;90
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;38116;50827;Köln;91
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 2x im Monat";;;;;;;;43420;50859;Köln;92
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43180;50859;Köln;92
Bio Gemüsekiste(ca. 5Kg);;;;;;;;39991;50769;Köln;93
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;34369;50677;köln;94
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;32118;50677;Köln;94
"Bauerntüte ""klassik""";;;;;;;;32392;50677;Köln;94
"Bauerntüte ""klassik""";;;;;;;;33222;50677;Köln;94
Bio Gemüsekiste(ca. 5Kg);;;;;;;;32783;50677;Köln;94
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;33029;50677;Köln;94
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;33340;50677;Köln;94
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;33557;50677;Köln;94
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;34639;50677;Köln;94
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;37874;50677;Köln;94
Bio Gemüsekiste(ca. 5Kg);;;;;;;;33471;50674;Köln;95
Bio Gemüsekiste(ca. 5Kg);;;;;;;;38845;50996;Köln;96
"Bio Obst &amp; Gemüse (ca. 5 kg)";"Bauerntüte ""klassik""";;;;;;;38877;50996;Köln;96
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;39360;50996;Köln;96
